name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"a[25,16]",0.721684,0.00170804,0.404909,0.033989,0.737279,1.35782,56197.7,257.803,1.00001
"a[25,17]",1.5963,0.00179365,0.431001,0.907695,1.58446,2.31922,57740.9,264.882,0.999997
"a[25,18]",0.536164,0.00144997,0.368882,-0.0794372,0.54455,1.12617,64722.6,296.91,1.00003
"a[25,19]",0.598646,0.00162287,0.375319,-0.0404654,0.614797,1.1847,53485.1,245.359,1.00004
"a[25,20]",1.07353,0.00146966,0.380908,0.458526,1.06848,1.70304,67174.6,308.159,1.00002
"a[26,1]",1.47776,0.00152697,0.413092,0.799598,1.47978,2.14969,73186.7,335.739,1
"a[26,2]",-0.265552,0.00206908,0.476296,-1.08925,-0.240067,0.473797,52990.6,243.091,1.00004
"a[26,3]",0.386592,0.00158558,0.374387,-0.248396,0.401624,0.973744,55752.7,255.762,1.00001
"a[26,4]",1.23481,0.00215178,0.454645,0.478211,1.24275,1.96865,44642.5,204.794,1.00002
"a[26,5]",0.511079,0.00177261,0.426739,-0.237458,0.539903,1.16019,57956.4,265.871,1.00003
"a[26,6]",0.844849,0.0014541,0.380825,0.208405,0.853882,1.45621,68590.2,314.653,1.00001
"a[26,7]",1.53015,0.00205115,0.444153,0.830169,1.51498,2.28995,46888.8,215.099,1
"a[26,8]",1.18147,0.00173588,0.418802,0.50099,1.17795,1.87239,58207.6,267.023,0.999993
"a[26,9]",1.45574,0.0015733,0.420113,0.759609,1.46117,2.13288,71302.7,327.096,1.00001
"a[26,10]",1.17726,0.00156909,0.405671,0.499798,1.1875,1.82749,66842.6,306.636,1.00001
"a[26,11]",0.415208,0.00171759,0.401598,-0.280205,0.440047,1.02502,54669.6,250.793,1.00006
"a[26,12]",0.247117,0.00165538,0.384363,-0.422701,0.275217,0.824936,53911.9,247.317,1.00001
"a[26,13]",1.27425,0.0015887,0.411361,0.600314,1.27011,1.9548,67044.3,307.561,0.99999
"a[26,14]",0.585938,0.00173657,0.42146,-0.138813,0.607192,1.23973,58901.9,270.208,1.00006
"a[26,15]",0.640511,0.00174108,0.394973,-0.00760392,0.640478,1.29077,51463.3,236.084,1.00001
"a[26,16]",0.725362,0.00171557,0.40599,0.0358284,0.740303,1.36393,56003.3,256.911,1
"a[26,17]",1.59238,0.0017366,0.430417,0.904624,1.58119,2.31572,61429.6,281.804,0.999997
"a[26,18]",0.525534,0.00145655,0.370896,-0.0980022,0.535587,1.11769,64841.2,297.454,1.00003
"a[26,19]",0.601075,0.00163168,0.376455,-0.0394873,0.616673,1.18903,53229.7,244.188,1.00005
"a[26,20]",1.07735,0.00147828,0.383029,0.458825,1.07128,1.7113,67135.3,307.979,1.00001
"a[27,1]",1.47929,0.00152736,0.413995,0.798661,1.48211,2.15185,73469.1,337.035,1
"a[27,2]",-0.28741,0.00214087,0.483822,-1.12572,-0.260854,0.462709,51072.8,234.293,1.00005
"a[27,3]",0.386151,0.00158433,0.37643,-0.252575,0.401393,0.976009,56451.6,258.968,1.00001
"a[27,4]",1.23399,0.00214186,0.454834,0.475524,1.24211,1.96754,45094.6,206.868,1.00001
"a[27,5]",0.513325,0.00175713,0.426081,-0.233361,0.541783,1.16196,58799.5,269.739,1.00003
"a[27,6]",0.835256,0.00146208,0.383325,0.192883,0.846178,1.44707,68737.6,315.329,1.00001
"a[27,7]",1.53113,0.00205718,0.444514,0.829183,1.51727,2.28834,46690.1,214.188,1.00001
"a[27,8]",1.191,0.00176388,0.423639,0.508185,1.18615,1.89019,57683.7,264.62,0.999991
"a[27,9]",1.45763,0.00157387,0.421297,0.758716,1.46415,2.13704,71653.3,328.705,1.00001
"a[27,10]",1.17801,0.00156836,0.406386,0.498822,1.18806,1.82784,67140.7,308.003,1.00003
"a[27,11]",0.421686,0.00171233,0.401428,-0.270382,0.44498,1.03655,54959.2,252.121,1.00004
"a[27,12]",0.250706,0.00165752,0.384933,-0.418468,0.278576,0.831303,53932.7,247.413,1.00002
"a[27,13]",1.27336,0.00158832,0.412328,0.599755,1.27063,1.95368,67392.4,309.158,0.99999
"a[27,14]",0.579425,0.00173996,0.423812,-0.149468,0.601681,1.23684,59329.4,272.169,1.00006
"a[27,15]",0.647901,0.00175787,0.397458,-0.00237863,0.646746,1.30253,51122,234.518,1
"a[27,16]",0.73079,0.00172864,0.408092,0.0400279,0.745082,1.37515,55732.4,255.668,1
"a[27,17]",1.58493,0.00169405,0.428589,0.897887,1.57549,2.30233,64007,293.628,0.999999
"a[27,18]",0.511638,0.00147213,0.373306,-0.121039,0.523946,1.10157,64304.1,294.99,1.00003
"a[27,19]",0.600826,0.00163197,0.377441,-0.0401108,0.615804,1.19034,53489.9,245.381,1.00005
"a[27,20]",1.08276,0.00148516,0.385764,0.463272,1.07665,1.72152,67468.2,309.506,1.00001
"a[28,1]",1.48391,0.00153653,0.415199,0.800394,1.48569,2.16017,73017.5,334.963,0.999999
"a[28,2]",-0.311572,0.00223035,0.494241,-1.16874,-0.28457,0.45348,49105.5,225.268,1.00006
"a[28,3]",0.384502,0.00158829,0.378884,-0.255572,0.399973,0.976077,56905.6,261.051,1
"a[28,4]",1.22957,0.00210504,0.45418,0.471349,1.2389,1.96154,46551.8,213.553,1.00001
"a[28,5]",0.517325,0.00175021,0.424297,-0.225846,0.544106,1.1672,58770.7,269.606,1.00004
"a[28,6]",0.823381,0.00147832,0.387096,0.169159,0.835477,1.43662,68564.9,314.537,1.00001
"a[28,7]",1.53571,0.00206942,0.446525,0.830417,1.52135,2.30072,46557.8,213.581,0.999998
"a[28,8]",1.19347,0.00176517,0.424557,0.507255,1.18898,1.89423,57849.2,265.379,0.999991
"a[28,9]",1.46545,0.00157327,0.421409,0.769218,1.47115,2.14632,71746.7,329.133,1.00001
"a[28,10]",1.17681,0.00157094,0.407364,0.495311,1.18752,1.82988,67242.8,308.472,1.00003
"a[28,11]",0.430562,0.00170749,0.401495,-0.262472,0.452514,1.04772,55289.9,253.638,1.00005
"a[28,12]",0.252826,0.0016553,0.385702,-0.41818,0.279478,0.836433,54293.7,249.068,1.00001
"a[28,13]",1.27732,0.00160439,0.415221,0.599359,1.27461,1.96167,66978.6,307.26,0.99999
"a[28,14]",0.572812,0.00174628,0.425815,-0.159056,0.595268,1.2334,59458.5,272.761,1.00006
"a[28,15]",0.656986,0.00178543,0.401863,0.00185631,0.654214,1.32166,50660.4,232.401,0.999994
"a[28,16]",0.7362,0.00172813,0.408992,0.0449139,0.749737,1.38353,56011.6,256.949,0.999999
"a[28,17]",1.57783,0.00166819,0.428644,0.887965,1.56945,2.29351,66024.2,302.882,1
