program,0_-2,0_-3,0_-1,1_-3,1_-2,1_-1,-1_-2,0_-4,1_-4,-1_-3,1_-5,2_-4,0_-5,-1_-4
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_192/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,16.0,25.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_161/hearts.stan,16.0,72.0,0.0,44.0,6.0,4.0,1.0,18.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_466/hearts.stan,15.0,102.0,0.0,34.0,4.0,4.0,1.0,15.0,36.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_517/hearts.stan,19.0,109.0,0.0,47.0,6.0,4.0,1.0,22.0,34.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_269/hearts.stan,14.0,98.0,0.0,29.0,4.0,4.0,1.0,16.0,29.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_70/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,19.0,27.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_167/hearts.stan,18.0,110.0,0.0,45.0,6.0,4.0,1.0,21.0,40.0,0.0,3.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_54/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,19.0,28.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_64/hearts.stan,16.0,99.0,0.0,33.0,4.0,4.0,1.0,17.0,30.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_16/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,16.0,25.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_475/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,32.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_279/hearts.stan,19.0,43.0,0.0,47.0,6.0,4.0,1.0,22.0,34.0,0.0,4.0,0.0,0.0,0.0
